ID,Age,Income,Score,Gender,Department,JoinDate,Satisfaction
84,43,44398,NA,Female,IT,24/5/2022,5
85,57,NA,73,Female,Operations,28/12/2022,1
86,59,68485, ,Male,HR,4/9/2024,5
87,52,52799,34,Male,Operations,3/12/2022,NA
88,21,53435,5,Female,Sales,8/2/2024,4
89,29,30112,21,Male,Operations,7/2/2023,1
90,21,30275,89,Female,Operations,17/3/2023,4
91,48,35549,35,Male,Marketing,10/8/2024,5
92,24,37898,41,Male,HR,6/2/2020,1
93,27,33613,10,Male,IT,14/1/2022,4
94,41,0,91,Male,*,24/11/2020,2
95,32,44476,1,Male,IT,22/2/2020,3
96,56,49920,74,Female,Operations,26/6/2020,5
97,37,61225, ,Male,Finance,28/12/2021,2
98,24, ,74,Female,Marketing,28/8/2023,1
99,30,16591,,Female,IT,3/8/2022, 
100,45,15812,90,Female,IT,4/2/2021,1
101,56,36396,NA,Female,IT,25/10/2023,5
102,35,35403,70,Female,IT,16/6/2020,4
103,64,47494,-,Male,Operations,9/11/2020,5
104,28,38084,71,Female,Finance,20/1/2021,3
105,53,39841,27,Male,*,30/4/2022,4
106,53,34332,0,Male,Marketing,24/11/2021,4
107,19,58343,95,-,Finance,21/3/2024,NA
108,63,24673,73, , ,19/1/2020,4
109,34,33815,12,Male,Marketing,5/1/2020,1
110,23,262830,29,Male,Sales,13/3/2023,
111,58,46190,18,Male,Finance,27/7/2021,4
112,63,16084,NA,Male,Sales,8/11/2021,5
113,40,36113,67,Female,Sales,23/8/2020,5
114,64,11652,*,Female,Operations,27/12/2021,2
115,33,40942,83,Female,Operations,14/9/2020,2
116,58,239222,3,Male,IT,7/8/2022,1
117,43,46654,10,Male,HR,15/11/2021,3
118,63,34646,52, ,Marketing,11/12/2022,1
119,18,40435,25,Male,Finance,1/2/2023,2
120,53,30282,93,Male,Marketing,10/11/2024,1
121,-,33564,63,Male,Operations,29/9/2022,3
122,19,,37,Female,IT,19/11/2023,1
123,37,21145,7,Female,Marketing,4/5/2023,5
124,NA,16848,-,Male,Marketing,8/12/2021,4
125,48,28577,89,,IT,13/6/2023,
126,25,53673,4,Male,Sales,13/9/2020,3
127,47,21630,30,Female,Marketing,14/3/2022,1
128,56,25120,84,Female,Operations,7/10/2024,4
129,19,41690,74,Male,Sales,31/7/2021,3
130,30,46995,75,Female,Finance,15/2/2022,2
131,21,32200,92,NA,IT,10/7/2021,1
132,NA,12145,97,Female,Sales,21/12/2023,3
133,25,25099,13,Male,Sales,27/11/2024,4
134,,54048,65,Male,Marketing,1/6/2024,1
135,42,40728,20,Male,IT,23/7/2024,5
136,24,50101,37,Male,Marketing,23/9/2022, 
137,NA,41896,-,Male,Sales,25/6/2022,4
138,46,24028,72,Male,NA,23/4/2023,5
139,*,40543,78,Male,Marketing,21/11/2022,4
140,NA,33001,22,Male,IT,5/12/2023,3
141,54,32884,76,Female,Operations,1/7/2020,2
142,50,49226,57,Female,HR,3/3/2023,2
143,*,43441,54,Male,Operations,19/4/2021, 
144,42,25942,0,*,IT,7/2/2022,4
145,63,NA,27,Male,*,4/8/2021,5
146,31,28440,95,Female,IT,28/3/2022,5
147,26,41199,21,Female,Finance,26/12/2022,3
148,-,27317,92,Male,Sales,11/5/2024,5
149,24,47373,12,Male,IT,12/11/2023,3
150,19,42173,98,Male,Sales,12/2/2020,4
151,48,33436,14,Female,Finance,24/7/2021,*
152,24,29363,19,Female,Finance,27/3/2023,2
153,58,52092,21,Female,Sales,10/6/2021,3
154,28,45882,56,,Finance,21/6/2020,4
155,30,55690,20,Female, ,22/3/2022,3
156,30,NA,97,Female,HR,14/3/2020,5
157,43,33213,74,Male,Sales,15/4/2024,2
158,60,NA,52,Male,-,24/3/2023,3
159,25,36711,57,Male,IT,27/6/2024,2
160,31,0,1,Male,,9/7/2024,5
161,62,40497,94,Female,Marketing,19/8/2024,2
162,19,3646,39,Male,Sales,10/12/2021,5
163,59,42042,60,Male,IT,11/9/2020,5
164,,21007,88,Male,Sales,1/9/2020,1
165,41,32939,0,Female,,26/8/2022,1
166,51,30610,7,Female,Marketing,15/6/2021,2
167,21,13383,63,Female,Marketing,11/2/2024,
168,35,36203,93,Female, ,22/9/2023,5
169,42,0,18,Male,Operations,5/3/2022,1
170,64,27871,77,Female, ,4/3/2020,
171,41,40705,70,Female,Marketing,26/7/2021,5
172,,35516,6,Male,Operations,19/9/2024,2
173,51,45469,68,Female, ,20/3/2022,4
174,-,*, ,Male,Sales,29/4/2022,2
175,,18228,19,Female,Sales,10/3/2023,4
176,36,9746,38,Female, ,12/5/2024,3
177,64,NA,84,Male,IT,13/6/2021,1
178,63,33039,2,Male,HR,4/11/2022,1
179,53,45177,40,Male,Marketing,6/2/2020,1
180,36,23713,72,Male,Finance,23/12/2020,3
181,*,52797,29,Male,IT,13/8/2020,5
182, ,52467,11,Male,Marketing,4/8/2024,4
183,27,58418,69,*,-,12/3/2022,4
184,35,23179,54,Male,Marketing,30/10/2020,2
185,21,22058,84,Male,IT,13/5/2023,1
186,29,48443,17,Female,IT,6/2/2022,5
187,44,39597,84, ,Sales,10/8/2023,3
188,46,42983,NA,Male,IT,22/1/2023,3
189,29,50505,14, ,Operations,13/10/2021,4
190,28,32036,52,Male,Finance,30/4/2021,1
191,21,26703,59,Female,IT,19/8/2023,
192,63,56139,47,Female,NA,15/5/2022,3
193,41,33371,15,Female,Operations,3/9/2020,2
194,43,40862,69,Female,Marketing,6/9/2023,3
195,*,38552,42,Male,Sales,11/11/2024,2
196,,39372,24,Male,Finance,8/3/2024,1
197,21,19165,19, ,Sales,24/2/2023,1
198,NA,19990,39,NA,Sales,1/6/2024,1
199,32,42197,49,Female,HR,4/1/2022,4
200,39,19961,9,Female,Marketing,13/12/2020,5
201,41,53958,13,Male,Finance,1/5/2024,NA
202, ,35376,-,Female,Sales,10/4/2020,3
203,54,11142,73,Female,Operations,25/8/2020,1
204,22,54908,96,Male,Sales,15/5/2020,1
205,23,18757,47,Male,HR,2/3/2023,1
206,27,0,81,Male,Sales,21/9/2023,5
207,20,28639,21,Female,,10/2/2024,4
208,55,47118, ,Male,Operations,7/9/2021,3
209,51,29757,79,Female,IT,17/8/2020,3
210,23,26039,54,Female,Operations,14/6/2022,2
211,NA,45994,75,NA,IT,18/10/2023,1
212,33,32771,80,Male,Marketing,3/5/2023,1
213,46,40489,73,Female,Sales,23/5/2022,4
214,20,46572,34,*,Finance,24/7/2020,2
215,28,37236,84,Male,Operations,30/10/2023,5
216,-,42750,27,Female,,29/9/2022,4
217,21,26240,57,Male,Operations,10/11/2020,*
218,21,50477,91,Female,Sales,5/4/2024,3
219,41,45926,35,Female,IT,5/6/2024,3
220,45,16400,93, ,Finance,30/5/2020,1
221,52,29756,38,Female,Operations,21/2/2023,*
222,55,45247,62,Female,Marketing,30/3/2021,2
223,41,30096,82,Male,,25/3/2022,5
224,39,35240,-,*,Marketing,21/9/2024,1
225,43,58320,0,Male,Finance,1/5/2020,3
226,35,20870,31,Female,Sales,17/3/2021,2
227,20,30892,42,Female,Finance,25/5/2024,*
228,63,27544,7,Male,Finance,12/12/2022,2
229,28,24985,98,Female,Finance,13/10/2024,3
230,26,35682,71,Female,,25/12/2022,2
231,50,52679,6,Male,HR,21/6/2024,5
232,43,41036,15,Male,IT,5/7/2021,4
233,53,37431,-,Female,Sales,7/4/2023,3
234,21,22082,57,NA,Sales,15/7/2023,
235, ,34256,26,Female,Sales,20/12/2020,2
236,25,34198,35,Female,HR,9/1/2020,2
237,24,0,24,Female,Marketing,16/7/2022,5
238,53,22484,58,Male,HR,31/1/2021,5
239,*,56534,84,Female,,16/3/2020,1
240,57,16103,14,Male,HR,22/4/2020,5
241,36,27553,30,Female,HR,25/1/2021,3
242,NA,40479,5,Female,Marketing,14/11/2021,1
243,56,37578,37,Male,Finance,20/6/2020,2
244,23,42583,0,Female,NA,17/10/2024,4
245,27,33034,13,Male,Operations,28/11/2022,2
246,58,49411,64,Female,Sales,23/4/2022,3
247,59,30946,41,Female,*,4/6/2024,4
248,22,20263,11,Male,NA,18/10/2022,3
249,41,23571,64,Male,Operations,18/8/2022,4
250,58, ,12,Female,Sales,22/8/2021,5
251,39,37849,14,*,HR,7/9/2024,4
252,43,42051,23,Female,IT,4/6/2024,4
253,54,36591,49,,Finance,15/9/2023,2
254,62,*,51,Female,Marketing,31/8/2021,4
255,46,31977, ,Female,IT,6/7/2020,5
256,53,39208,51,Male,Operations,17/1/2023,-
257,37,-,43,Male,IT,13/7/2023,2
258,35,35771,0,Female,Operations,25/11/2021,2
259,57,27148,35,Male,HR,26/6/2020,3
260,62,47165,71,Female,Operations,24/1/2023,3
261,58,53173,30,Female,Sales,24/7/2023,3
262,32,40345,87,Male,NA,14/4/2021,3
263,32,33604,52,Female,HR,5/9/2022,2
264,41,29638,95,Male,IT,27/7/2024,2
265,46,47751,6,Male,HR,8/5/2022,4
266,34,25659,15,Female,IT,21/3/2023,-
267,64,33465,94,Male,Finance,12/3/2022,5
268,42,46617,12,Female,-,24/6/2023,2
269,33,38033,59,Male,IT,17/7/2022,5
270,34,45342,42,Male,Sales,26/6/2024,1
271,64,46689,69,Male,Operations,14/1/2021,3
272,64,51825,64,,Finance,6/7/2024,3
273,38,43525,47,Male,Marketing,19/8/2022,1
274,61,41111,90,Male,Marketing,6/10/2021,2
275,44,36070,55,Male,Finance,8/1/2024,4
276,22,44191,NA,Female,Finance,15/11/2021,3
277,39,46847,23,Female,Finance,1/4/2020,NA
278,50,27045,3,Female,Finance,27/5/2020,3
279,57,38375,23,Female,HR,18/9/2020,2
280,19,45013,68,Male,IT,5/10/2021,3
281,52,4906,97,-,Finance,14/6/2024,2
282,60,25939,-,Male,NA,4/5/2024,2
283,36,27337,64,Female,Sales,16/8/2020,1
284,57,51597,41,Male,Sales,4/4/2021,4
285,44,17292,93,Male,Operations,8/12/2023,4
286,57,22801,58,Female,IT,8/4/2023,5
287,53,0,48,Male,Finance,28/7/2024,2
288,56,52806,92,Female,Marketing,13/3/2024,5
289,NA,35293,99,Male,IT,10/8/2022,4
290,58,44011,17,Female,Finance,11/1/2024,5
291,35,53063,59,Female,IT,3/4/2022,5
292,63,21710,78,Male,Marketing,13/6/2022,2
293,40,31064,27,Female,Marketing,21/5/2024,1
294,43,45657,20,Male,HR,6/12/2023,4
295,28,*,95,Male,Finance,24/2/2024,1
296, ,40525,37,Female,HR,4/2/2024,2
297,*,24593,68,Male,Finance,2/4/2020,4
298,37,0,78,,Marketing,16/7/2022,5
299,48, ,34,Male,IT,6/6/2021,1
300,25,39099,54,Female,Sales,11/5/2021,3
301,57, ,47,Female,Finance,16/4/2024,3
302,41,0,72,Female,Sales,11/7/2023,4
303,NA,21779,57,Male,Sales,31/3/2021,3
304,32,29433,48,Female,Sales,23/4/2021,3
305,47,47434,70,Male,HR,12/1/2024,NA
306,37,37024,73,*,Finance,26/12/2020,4
307,55,23452,-,Female,Operations,24/1/2020,5
308,NA,36588,53,Male,Marketing,2/12/2023,5
309,,NA, ,Female,IT,23/12/2023,2
310,59,12857,NA,Male,Operations,23/12/2021,
311,35,50384,38,Male,IT,12/5/2020,1
312,53, ,24,Male,Marketing,29/8/2024,1
313,31,23134,24,Female,IT,31/5/2023,5
314,*,38438,70,Male,Operations,9/1/2020,3
315,51,43100,60, ,Operations,31/5/2022,4
316,47,41695,40,Male,Finance,1/2/2024,1
317,24,17352,60,Male,Marketing,25/3/2023,3
318,47,35085,62,NA,Finance,1/5/2023,4
319,35,33482,95,Male,HR,16/3/2022,4
320,39,64507,3,Female,Operations,7/5/2020,4
321,34,23800,14,Male,Marketing,5/7/2022,2
322,48,41770,95,Female,Marketing,23/11/2022,5
323,34,29101,52,Male,HR,25/11/2021,1
324,48,24532,26,Male,Operations,15/7/2021,5
325,30,37046,19,-,IT,11/2/2024,4
326,44,26320,38,Female,IT,25/1/2022,1
327,NA,41042,66,Female,IT,17/9/2020,3
328,34,43432,86,Male,HR,2/1/2023,1
329,46,32462,97,Male,Operations,14/3/2021,2
330,56, ,24,Female,Sales,27/6/2023,1
331,52,47727,43,Female,Finance,21/12/2022,3
332,25,39484,45,Female,Sales,16/7/2021,4
333,60, ,30,,Finance,9/7/2023,5
334,55,38616,61,Male,Operations,1/4/2023,4
335,32,-,96,Male,Operations,29/4/2023,2
336,,NA,0,Female,Operations,24/12/2022,5
337,50,24193,51,Male,Marketing,9/9/2023,2
338,20,24904,5,Male,Operations,30/10/2023,*
339,56,56704,100,Female,Marketing,10/8/2020,1
340,*,45297,40,Female,IT,26/10/2021,1
341,32,43494,60,Female,Finance,21/2/2024,1
342,59,41546,28,Female,Operations,30/10/2022,4
343,35,32594,2,Female,Operations,20/11/2022,4
344,55,NA,*,Female,Operations,9/5/2020,2
345,48, ,75,Female,Sales,15/12/2020,4
346,37,5889,35,Male,Marketing,20/8/2023,5
347,24,54620,21,Female,Operations,31/1/2023,1
348,54,52288,20,Female,IT,17/2/2021,5
349,44,39602,2,Male,HR,6/2/2022,2
350,25,35218,4,Female,Marketing,24/12/2023,3
351,31,22074,61,,Finance,3/1/2021,2
352,32,NA,79,Male,Sales,5/3/2024,2
353,24,24051,60,NA,HR,9/8/2022,1
354,50,28316,41,Female,Sales,8/4/2021,2
355,51,38579,74,-,HR,1/7/2021,2
356,21,0,63,Male,HR,10/4/2024,1
357,NA,26109,21,Female,Operations,19/2/2024,1
358,58,36976,95,Male,NA,14/7/2024,5
359,31,42957,58,Male,HR,21/1/2024,2
360,48,203579,48,Male,IT,10/3/2024,1
361,55,26433,67,Female,Sales,23/10/2024,2
362,37,63804,44,*,*,17/4/2022,3
363,20,25506,99,Female, ,23/11/2022,4
364,52,NA,12,Female,Operations,28/2/2023,2
365,63,38840,71,Male,IT,21/4/2022,1
366,NA,33219,34,Male,IT,27/5/2022,1
367,32,33580,55,Male,-,23/8/2023,5
368,20,46968,47,Female,Finance,5/5/2022,4
369,45,46557,72,Female,IT,14/10/2022,4
370,44,47863,4,Male,Operations,6/10/2020,2
371,*,,,Male,Operations,31/12/2023,2
372,64,27790,99,Female,Marketing,1/2/2021,2
373,50,42602, ,Female,Operations,5/2/2024,3
374,36,31283,31,Female,Marketing,17/5/2024,3
375,50,*,*,Female,Sales,25/5/2020,5
376,48,0,56,NA,Marketing,26/4/2020,2
377,21,36129,15,Male,IT,30/9/2021,*
378,49,38514,12,Female,IT,10/4/2021,2
379,59,34204,12,Female,Marketing,27/8/2024,4
380,45,42178,99,Female,Operations,15/9/2020,5
381,33,43235,10,Male,HR,25/6/2021,1
382,60,49140,74,Male,Marketing,24/9/2020,2
383,45,29907,73,Female,HR,17/7/2023,
384,32,42528,34,Male,Finance,21/9/2021,5
385,39,37512,61, ,Sales,23/9/2020,2
386,48,42572,-,Male,Operations,8/5/2022,5
387,38,17988,52,Female,Operations,10/6/2023,*
388,49,29403,16,Male,Finance,5/6/2023,3
389,,12001,50,Male,HR,2/9/2024,3
390,50,52129,91,Male,Sales,5/5/2024,4
391,25,NA,-,Male,Operations,3/8/2022,5
392,31,-,14,Male,HR,1/11/2022,4
393,42,*,NA,Female,*,5/3/2024,2
394,49, ,50,Male,IT,24/1/2024,4
395, ,15488,94, ,IT,11/5/2022,4
396,19,47774,67,Female,IT,26/11/2022,5
397,34,32092,87,Female,Marketing,30/4/2024,2
398,44,49970,7,Female,Finance,21/12/2022,3
399,19,3720,75,Female,*,9/2/2023,4
400,25,30001,0,Male,HR,17/11/2024,2
401,55,40961,63,Male,Operations,14/2/2021,4
402,37,39088,28,Male,Operations,18/1/2021,
403,*,17113,44,Male,IT,23/2/2020,1
404,38,59580,36,Female,Marketing,8/12/2022,4
405,43,*,,Male,Finance,15/12/2022, 
406,48,173905,97,Female,IT,19/11/2020,3
407,37,35228,63,Male,Finance,5/5/2022,1
408,23,19372,8,Male,Marketing,5/7/2023,2
409,-,40540, ,Male,Finance,13/3/2020,3
410,18,30997,65,Female,Finance,30/3/2020,5
411,,36522,0,Male,HR,29/7/2021,1
412,46,22093,66,Male,HR,3/8/2023,1
413,19,26642,20,Female,Finance,27/6/2024,5
414,39,28902,21,Male,Finance,9/11/2023,5
415,46,31663,3,Female,Sales,23/10/2024,3
416,26,37409,83,Male,Operations,28/9/2021,-
417,58,28333,34,Male,Finance,21/3/2021,
418,38,17837,58,Female,HR,3/10/2024,3
419,49,35587,NA,Female, ,20/4/2021,2
420,49,26140,4,Female,Operations,25/8/2023,-
421,64, ,8,Male,IT,5/2/2023,4
422,61,35201,, ,IT,15/12/2021,5
423,57,21672,15,Female,IT,12/7/2021,3
424,43,42055,11,Male,Marketing,6/10/2024,3
425,30,28689,16,Male,IT,27/10/2021,4
426,20,34463,18,Female,Marketing,9/10/2021,4
427,49,28099,87,Male,Finance,3/11/2024,3
428,50,41722,64,Male,Operations,19/5/2023,2
429,50,32327,75,,Finance,22/5/2024,3
430, ,18402,73,Male,Sales,26/12/2020,5
431,59,37250,0,Male,Sales,28/3/2020,-
432,30,35364,73,Male,Marketing,6/5/2022,4
433,60,62712,27,Female,Marketing,26/6/2023,2
434, ,25136,77,Female,HR,9/3/2024,3
435,21,27361,8,*,Sales,2/9/2024,1
436,55,36234,22,Male,Sales,31/1/2023, 
437,23,40066,64,Male,Operations,30/11/2023,3
438,,27370,0,Female,IT,10/1/2022,2
439,44,17215,26,Female,Sales,24/11/2022,-
440, ,31906,35,Female,,29/2/2020,1
441,37,-,78,Male,Sales,23/2/2020,4
442,35,*,43,Male,,27/6/2021,4
443,*,22499,55,Male,Marketing,5/12/2021,5
444,,32421,25,Male,Marketing,12/8/2023,5
445,27,53705,93,Male,Finance,7/1/2020,2
446,40,41753,88,Male,HR,18/7/2024,3
447,64,,100,-,Marketing,2/3/2021,3
448,20,-,33,,IT,20/8/2022,3
449,26,20457, ,Female,IT,30/1/2021,3
450,36,45203,60,Male,Finance,14/4/2021,3
451,53,41460,43,Female,IT,27/2/2024,1
452,57,32671,13,*,IT,5/11/2024,5
453,44,21486,55,Female,HR,22/8/2024,2
454,59,18798,98,Female,HR,9/11/2024,2
455,45,5499,82,Male,IT,24/4/2020,1
456,60,37771,7,Female,IT,2/12/2022,1
457,25,0,61,Female,-,29/10/2024,3
458,59,36945,87,Male,Marketing,20/9/2023,1
459,25,37621,0,Male,Marketing,16/11/2022,3
460,35,46499,70,Male,Operations,7/10/2021,3
461,38,26448,80,Male,IT,19/6/2020,3
462,63,35769,52,Female,Sales,23/11/2021,5
463,30,51276,17,Male,,30/7/2021,5
464,44,47131,10,Female,Operations,2/2/2023,4
465,64,32909,34,Male,HR,27/3/2024,2
466,57,14844,57,Male,Finance,20/12/2023,3
467,33,44871,59,Male,HR,26/8/2023,1
468,57,25938,56,Female,Marketing,18/7/2020,3
469,26,50158,0,Female,IT,23/8/2022,3
470,44,43740,42,Female,Sales,5/12/2023,-
471,34,45167,7,Female,IT,5/5/2022,5
472,20,35224,80,Female,Sales,28/1/2022,1
473,21,46214,14,Female,Finance,29/7/2021,3
474,57,NA,33,Female,IT,1/12/2022,5
475,18,48495,64,Female,Finance,5/7/2024,3
476,31,299636,100,Female,IT,29/9/2020,5
477,25,32422,37,Male,,21/7/2020,2
478,24,,44,Female,Finance,2/11/2024,1
479,47,32603,32,Female,HR,19/3/2023,2
480,42,33478,6,Female,IT,10/9/2020,2
481,56,14517,71,Female,-,5/2/2024,2
482,33,9230,14,Female,Marketing,13/12/2022, 
483,28,45542,94,Male,-,21/11/2020,4
484,42,39724,1,,Operations,28/11/2020,3
485,50,0,21,Female,Operations,4/4/2022,5
486,38,28138,99,Male,HR,14/3/2023,4
487,27,41154,9,Male,HR,17/10/2021,5
488,26,0,96, ,Marketing,18/10/2022,2
489,18,36174,NA,Female,HR,6/1/2024,5
490,51,49391,17,Female,IT,30/1/2023,5
491,48,27576,81,,Sales,17/1/2023,-
492,38,,56,Female,Marketing,14/3/2022,2
493,41,0,,Male,IT,6/9/2022,3
494,36,21549,81,Female,IT,25/7/2022,4
495,38,31033,91,*,HR,25/7/2023,-
496,42,42979,4,Female,HR,16/11/2020, 
497,37,45163,84,Female, ,25/5/2022,3
498,43,34676,93,Male,IT,27/4/2020,4
499,24,10126,33,Male,IT,4/9/2023,4
500,20,34660,27,Male,Finance,27/12/2020,3
501,57,36031,71,Male,Finance,29/12/2021,1
502,25,51713,91,Female,HR,10/10/2024,2
503,47,40882,29,Female,HR,27/10/2024,5
504,28,40409,51,Male,Operations,17/7/2024,2
505,25,33469,80,Male,Operations,19/8/2024,2
506,54,36585,15,Female,*,30/8/2020,-
507,34,14704,,,IT,15/1/2024,1
508,25,33578,92,Male,Marketing,28/10/2021,4
509,NA,46476,2,Male,Sales,17/6/2020,4
510,61,27694,22,Female,HR,5/6/2024,1
511,47,29484,46,Male,IT,7/10/2020,5
512,60,-,*,Female,*,18/12/2021,2
513,60,47806,8,Female,*,2/2/2023,1
514,33,63555,NA,Female,HR,7/1/2021,3
515,21,26505, ,Female,IT,18/11/2022,4
516,38,17747,43,Female,Sales,31/12/2021,1
517,51,31791,85,Female,IT,24/7/2020,2
518,57,42370,10,Male,Sales,13/10/2020,5
519,-,22850, ,Female,Marketing,12/3/2023,5
520,30,23487,88,Female,IT,22/5/2020,1
521,60,35596,NA,Female,HR,8/10/2021,2
522,44,17331,91,Male,Finance,6/6/2022,
523,25,44732,80,Female,Marketing,16/2/2024,4
524,58,50108,90, ,Marketing,20/5/2024,2
525,59,13035,82,Male,HR,15/1/2024,2
526,46,NA,81,Male,Operations,18/12/2021,5
527,33,33483,8,Male,Finance,25/7/2020,1
528,60,47199,50,Female,HR,16/7/2021,5
529,63,NA,16,Female,Operations,1/8/2022,5
530,22,37614,61,Female,Operations,23/10/2021,2
531,54,32622,20,Male,IT,11/8/2022,5
532,57,29216,19,Male,IT,5/10/2022,1
533,57,41568,0,NA,Marketing,23/2/2024,2
534,59,35333,52,Female,Operations,14/10/2024,5
535,27,30684,95,Male,Operations,14/2/2023,3
536,32,39222,5, ,Finance,13/3/2024,3
537,38, ,82,Female,Sales,6/11/2020,1
538,51,31479,89,Male,HR,28/12/2020,
539,39,40501,64,Female,*,28/12/2023,2
540,39,47483,100,Female,HR,3/5/2022,3
541,26,33116,62,Male,Operations,31/3/2022,5
542,43,24957,34,Male,IT,5/4/2020,4
543,30,40391,17,Male,Marketing,10/4/2024,2
544,35,27276,25,Male, ,11/4/2022,5
545, ,35142,11,Male,IT,1/12/2023,5
546,40,24514,-,Male,IT,9/8/2023,1
547,50,55030,53,Male,Marketing,10/2/2020,4
548,64,0,8,Male,Marketing,3/1/2023,1
549,48,44734,98,-,Finance,16/11/2020,2
550,38,63610,65,Male,HR,24/12/2021,1
551,40,27745,54,Female,Finance,29/8/2021,3
552,33,29275,3,Female,Sales,17/2/2023,3
553,44,45664,52,Male,Finance,22/7/2023,5
554,54,34599,52,Male,Sales,14/9/2024,1
555,*,34269,3,Male,Finance,21/3/2020,3
556,31, ,33,*,NA,11/1/2021,2
557,NA,35839,56,Female,Sales,25/4/2024,3
558,64,40157,NA,Male,Sales,3/3/2021,
559,24,51102,89,Female,Finance,15/12/2022,5
560,29,29441,97,Female,HR,8/6/2024,1
561,45,32139,90,Male,HR,4/11/2024,4
562, ,38044, ,Male,NA,4/8/2023,-
563,NA,29065,40,Male,IT,1/5/2021,2
564,*,-,11,Female,Sales,18/4/2020,3
565,46,27665,18, ,NA,2/8/2021,4
566,37,44041,65,Male,Sales,4/9/2023,2
567,20,20086,20,Female,IT,30/7/2021,5
568,44,50449,92,Female,HR,1/8/2023,2
569,38,35807,65,Female,Marketing,21/9/2023,3
570,58,35196,*,*,Finance,19/6/2021,2
571,50,21739,0,Female,Finance,23/9/2020,2
